segment_point_id,latitude,longitude,road_code,route_segment,road_type,provincia,is_highway,km_marker,imd_total,imd_light,imd_heavy,pct_heavy,demand_index,imd_station_dist_km,imd_low_confidence,ev_fleet_province_2027,ev_fleet_point_allocated,ev_penetration_rate_2027,estimated_daily_ev_passages,nearest_charger_dist_km,nearest_charger_power_kw,nearest_charger_connections,nearest_fast_charger_dist_km,coverage_gap_flag,coverage_gap_km,available_capacity_mw,available_capacity_kw,nearest_substation_dist_km,distributor_network,grid_low_confidence,estimated_ev_demand_kw,n_chargers_proposed,grid_load_ratio,grid_status,traffic_weighted_demand,composite_priority_score
A22_0030,41.980117,0.135858,A-22,A-22,AUTOVÍA,HUESCA,True,100.0,10200,8670.0,1530.0,15.0,581.0,45.34,True,9867,689.69,0.3,2601.0,2.909,44000.0,8,2.909,False,0.0,0.95,950.0,60.337,i-DE,True,7803.0,12,8.213684,Congested,2601.0,0.268596
A22R1_0031,41.717721,0.450992,A-22-R1,A-22-R1,CARRETERA CONVENCIONAL,LLEIDA,True,0.0,2132,1812.0,320.0,15.0,3846.0,26.86,True,10693,144.16,0.3,543.6,8.516,240.0,16,8.516,False,0.0,0.95,950.0,21.147,Endesa,True,1630.8,12,1.716632,Congested,543.6,0.253737
A22R2_0032,41.740433,0.426686,A-22-R2,A-22-R2,CARRETERA CONVENCIONAL,LLEIDA,True,0.0,2132,1812.0,320.0,15.0,3846.0,28.08,True,10693,144.16,0.3,543.6,10.226,143000.0,12,10.226,False,0.0,0.95,950.0,24.376,Endesa,True,1630.8,12,1.716632,Congested,543.6,0.253737
A23_0033,40.132495,-0.775164,A-23,A-23,AUTOVÍA,TERUEL,True,0.0,80,68.0,12.0,15.0,171.0,52.37,True,4571,5.41,0.3,20.4,3.699,494000.0,28,3.699,False,0.0,3.48,3480.0,10.403,i-DE,False,61.2,2,0.017586,Moderate,20.4,0.249995
A23_0034,39.785819,-0.395901,A-23,A-23,AUTOVÍA,TERUEL,True,50.0,16334,13884.0,2450.0,15.0,3512.0,34.85,True,4571,1104.36,0.3,4165.2,8.184,600000.0,8,8.184,False,0.0,8.42,8420.0,6.955,i-DE,False,12495.6,12,1.484038,Congested,4165.2,0.289087
A23_0035,40.439702,-1.222257,A-23,A-23,AUTOVÍA,TERUEL,True,100.0,80,68.0,12.0,15.0,171.0,38.27,True,4571,5.41,0.3,20.4,10.672,93650.0,8,10.672,False,0.0,3.48,3480.0,59.391,i-DE,True,61.2,2,0.017586,Moderate,20.4,0.249995
A23_0036,41.218598,-1.242452,A-23,A-23,AUTOVÍA,TERUEL,True,150.0,496,422.0,74.0,15.0,30.0,21.8,True,4571,33.54,0.3,126.6,13.064,194000.0,20,13.064,False,0.0,48.03,48030.0,79.283,i-DE,True,379.8,4,0.007908,Sufficient,126.6,0.251034
A23_0037,40.635755,-1.310799,A-23,A-23,AUTOVÍA,TERUEL,True,200.0,80,68.0,12.0,15.0,171.0,57.68,True,4571,5.41,0.3,20.4,16.879,272000.0,16,16.879,False,0.0,3.48,3480.0,79.225,i-DE,True,61.2,2,0.017586,Moderate,20.4,0.249995
A23_0038,39.683552,-0.32512,A-23,A-23,AUTOVÍA,TERUEL,True,250.0,16334,13884.0,2450.0,15.0,3512.0,39.82,True,4571,1104.36,0.3,4165.2,0.361,200000.0,16,0.361,False,0.0,8.42,8420.0,19.556,i-DE,True,12495.6,12,1.484038,Congested,4165.2,0.289087
A23_0039,39.95829,-0.627628,A-23,A-23,AUTOVÍA,TERUEL,True,300.0,16334,13884.0,2450.0,15.0,3512.0,46.12,True,4571,1104.36,0.3,4165.2,4.954,194000.0,20,4.954,False,0.0,3.48,3480.0,19.151,i-DE,True,12495.6,12,3.59069,Congested,4165.2,0.287427
A23_0040,39.923672,-0.572914,A-23,A-23,AUTOVÍA,TERUEL,True,350.0,16334,13884.0,2450.0,15.0,3512.0,42.0,True,4571,1104.36,0.3,4165.2,2.107,194000.0,20,2.107,False,0.0,8.42,8420.0,14.603,i-DE,False,12495.6,12,1.484038,Congested,4165.2,0.289087
A26_0041,42.214973,2.657554,A-26,A-26,AUTOVÍA,GIRONA,True,0.0,15710,13354.0,2356.0,15.0,27115.0,0.83,False,14996,1062.31,0.3,4006.2,12.906,300000.0,8,12.906,False,0.0,37.79,37790.0,42.342,Endesa,True,12018.6,12,0.318037,Moderate,4006.2,0.288462
A27_0042,41.126306,1.229256,A-27,A-27,AUTOVÍA,TARRAGONA,True,0.0,26013,22111.0,3902.0,15.0,81603.0,8.81,False,7434,1758.82,0.3,6633.3,0.974,15200.0,8,0.974,False,0.0,46.2,46200.0,3.748,Endesa,False,19899.9,12,0.430734,Moderate,6633.3,0.313883
A3_0043,39.601955,-2.284121,A-3,A-3,AUTOVÍA,CUENCA,True,0.0,25915,22028.0,3887.0,15.0,25889.0,0.46,False,30261,1752.35,0.3,6608.4,0.733,944000.0,32,0.733,False,0.0,18.67,18670.0,30.339,i-DE,True,19825.2,12,1.061875,Congested,6608.4,0.313144
