site_key,lat,lon,number_of_connections,total_power_kw
hash::34115d69d2fdeb69,40.973923,-0.436115,3,
hash::4de20b6d42b520c3,41.738594,1.821968,3,
hash::c9a4992e5c98e43a,43.42717,-3.838602,3,
hash::56d97491128053da,41.72451,1.846044,3,
hash::ee5a816f98874a16,42.1108,3.125014,3,
hash::4cf76f2c09c8c655,42.73667,-0.315721,3,
hash::bc212efeef3d67f5,41.968987,2.800649,3,
hash::c3f5292c615b78c4,40.3094,-3.480431,3,
hash::a0bb1d13ce1eb52e,41.72364,1.847537,3,
hash::f69fbf42e353bec4,41.484882,2.339793,3,
hash::2251aa09df1d5b04,42.49943,-1.673145,3,
hash::2af7c8eb6dbf964b,41.413853,2.171829,2,
hash::e9d0d7fb7ff15b90,40.438183,-3.537409,2,
hash::c0a18777b67c4567,41.34439,2.105895,2,
hash::4423bd5fb728b94e,40.03412,4.165817,2,
hash::c8d2774d1995313f,41.35663,2.129388,2,
hash::095e9be10b2bfed0,41.47221,1.53378,2,
hash::2547a86922e96366,41.356308,2.129739,2,
hash::9badd056a454a0a8,41.35648,2.12949,2,
hash::eec7f1f001392e67,37.085808,-3.64908,2,
hash::cbe832e121c720d5,39.86302,-3.975312,2,
hash::a1373b0d01efb4b7,37.906597,-4.760329,2,
hash::e389e4cbb7fa7ee2,41.600906,2.295992,2,
hash::01ec9e65741e8992,40.44892,-3.860389,2,
hash::9aa7df32e184a9ee,37.92561,-6.71509,2,
hash::bf3d3b5fc0794db7,36.772278,-2.604377,2,
hash::0ce722aed399b509,40.566914,-3.60838,2,
hash::d484942e859251d6,37.03351,-4.5616264,2,
hash::861081e48a5352a2,40.27279,-3.694455,2,
hash::c4a89765ab20e346,40.44925,-3.8604,2,
hash::bd12b2e75301fcc9,40.56712,-3.608581,2,
hash::2f3d546cc6d8d088,40.440674,-3.53759,2,
hash::c87c40eba21cbca0,41.35659,2.129309,2,
hash::0d3c718d72a15303,40.451538,-3.88299,2,
hash::3849a6cf44119918,40.27283,-3.694457,2,
hash::a989fd6187455776,40.451477,-3.8829,2,
hash::50bc4676e88048d6,40.451538,-3.88296,2,
hash::7b61e1ec2bd622ce,40.451508,-3.88293,2,
hash::e1b1a6d46f458021,39.45629,-0.462142,2,
hash::458d22a7cc2d92ee,37.178066,-3.613221,2,
hash::2fd792763c318f64,38.08761,-0.953564,2,
hash::b81f8d1ee75609ec,40.44901,-3.860177,2,
hash::cf01a9ea57f10593,41.827873,2.953567,2,
hash::47b7f1eb1e592cdc,41.379158,2.142917,1,
hash::b05c9dfb65b6e275,41.37919,2.142947,1,
hash::2b793f1346eca596,37.38997,-6.540331,3,
hash::a62fd5fa5b5406bc,42.354828,-3.662424,3,
hash::a2b06bd9c3e8f2e0,41.60586,0.611517,3,
hash::a7eba3071b4f1897,37.28933,-7.1477,3,
hash::7a017e7c1fb6576c,41.446106,1.86621,3,
hash::8f74836dd78bd971,40.407295,-3.688325,3,
hash::4c209833376a55e8,37.24739,-7.19851,3,
hash::53b4c657a3a4ba90,41.806576,3.054535,3,
hash::0c27cf2af13c746f,41.966415,2.78265,3,
hash::6fe49c02a9710f35,41.67294,-4.725393,3,
hash::3d5efc4154e0356b,41.833073,1.876632,3,
hash::2320c708709aae5a,40.33879,-3.531241,3,
hash::a6f7a8a65fd6d14e,41.190586,1.255876,3,
hash::0a7dfcebe6ab7f61,38.981686,-3.909446,3,
hash::c1b6c6dc616ae9c4,41.326294,1.616683,3,
hash::e6d18e2e8f74de04,38.704384,-4.119099,3,
hash::597398bb44c3df39,42.56407,-2.83703,3,
hash::704e51c9f15eb691,37.46759,-5.564563,3,
hash::5f48357acd664254,42.040283,-3.752292,3,
hash::44fca15925d20a65,38.10357,-1.82116,3,
hash::610de35dc4c8d5ec,41.96252,1.880085,3,
hash::be7559c585d93c7d,41.743584,0.797051,3,
hash::c32f8dbfa24ef5e3,41.6449,1.136423,3,
hash::0846ed16743d8785,41.45025,2.055897,3,
hash::3a9209d3e8d39fa0,41.967503,2.783601,3,
hash::d4e09b8bf4b86a67,40.671356,-0.704186,3,
hash::bcb9fd8e11b77846,41.306168,-0.751989,3,
hash::2d92ae1162cb4fda,41.379524,2.066237,3,
hash::c717a9c7823b796d,40.583084,-3.576155,3,
hash::2f663378a1644094,41.5404,1.888337,3,
hash::bb0e40497f99a47a,37.180817,-6.966749,3,
