bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
M3_EXCL_112,40.359125,-3.763305,M-40,Viesgo,1800,Congested
M3_EXCL_113,36.708853,-4.457766,MA-20,Endesa,1800,Moderate
M3_EXCL_114,36.666964,-4.467195,MA-23,Endesa,1800,Moderate
M3_EXCL_115,36.723986,-4.292043,MA-24,Endesa,1800,Congested
M3_EXCL_116,40.80543,-4.338844,N-110,i-DE,1800,Congested
M3_EXCL_117,40.564652,-5.076193,N-110,i-DE,1800,Congested
M3_EXCL_118,40.757299,-4.445618,N-110,i-DE,1800,Congested
M3_EXCL_119,40.391254,-5.447025,N-110,i-DE,1800,Congested
M3_EXCL_120,40.682575,-4.625855,N-110,i-DE,1800,Congested
M3_EXCL_121,40.516239,-5.225735,N-110,i-DE,1800,Congested
M3_EXCL_122,42.055556,-2.523925,N-111,i-DE,1800,Congested
M3_EXCL_123,42.054846,-2.538843,N-111A,i-DE,1800,Congested
M3_EXCL_124,42.38919,-3.982292,N-120,Viesgo,1800,Congested
M3_EXCL_125,42.39636,-4.156815,N-120,Viesgo,1800,Congested
M3_EXCL_126,42.379249,-4.497458,N-120,Viesgo,1800,Congested
M3_EXCL_127,42.450672,-2.990398,N-120A,i-DE,1800,Congested
M3_EXCL_128,41.602992,-4.464442,N-122,i-DE,1800,Congested
M3_EXCL_129,41.605167,-4.049745,N-122,i-DE,1800,Congested
M3_EXCL_130,41.630638,-3.562283,N-122,i-DE,1800,Congested
M3_EXCL_131,41.614012,-3.935887,N-122,i-DE,1800,Congested
M3_EXCL_132,41.646679,-3.642715,N-122,i-DE,1800,Congested
M3_EXCL_133,41.576557,-3.113595,N-122R,i-DE,1800,Congested
M3_EXCL_134,41.659872,-1.003271,N-125,i-DE,1800,Congested
M3_EXCL_135,42.433055,1.936737,N-152,Endesa,1800,Moderate
M3_EXCL_136,42.462309,1.987193,N-154,Endesa,1800,Moderate
M3_EXCL_137,42.462345,1.987186,N-155,Endesa,1800,Moderate
M3_EXCL_138,42.433741,2.866135,N-2,Endesa,1800,Moderate
M3_EXCL_139,41.560257,-0.619262,N-2,Endesa,1800,Congested
M3_EXCL_140,41.513292,-0.508846,N-2,Endesa,1800,Congested
M3_EXCL_141,39.49041,-0.469796,N-220,Viesgo,1800,Congested
M3_EXCL_142,39.774091,-0.367888,N-225,Viesgo,1800,Congested
M3_EXCL_143,39.765624,-0.347137,N-225A,Viesgo,1800,Congested
M3_EXCL_144,41.524046,-0.655566,N-232,i-DE,1800,Congested
M3_EXCL_145,42.477907,-2.643312,N-232,i-DE,1800,Congested
